name,description,price,stock,brand,sku,barcode,category,status
Grand Candy Chocolate Assortment,Premium box of mixed dark and milk chocolates for wholesale distribution,4500,150,Grand Candy,GCA-001,4850001230010,,PUBLISHED
Kilikia Beer 0.5L,Traditional Armenian lager in a glass bottle brewed with pure mountain water,550,500,Kilikia,KIL-002,4850001230027,,PUBLISHED
Noyan Peach Nectar 1L,Natural fruit nectar made from fresh Armenian peaches with no added preservatives,850,300,Noyan,NOY-003,4850001230034,,PUBLISHED
Ararat Apricot Preserve,Traditional home-style apricot jam containing whole fruit pieces from the Ararat valley,1200,200,Ararat,ARA-004,4850001230041,,PUBLISHED
Marianna Sour Cream 20%,Fresh dairy sour cream in a 400g container suitable for retail and catering,650,450,Marianna,MAR-005,4850001230058,,PUBLISHED
Ground Black Pepper 50g,High quality ground black pepper packed for professional kitchens and spice shops,750,800,,SPY-006,4850001230065,,PUBLISHED
Jermuk Mineral Water 6x0.5L,Case of carbonated natural mineral water sourced from the springs of Jermuk,1800,600,,JER-007,4850001230072,,PUBLISHED
Grand Candy Joyco Dragee,Chocolate covered nuts in a convenient snack pack for quick retail sales,1200,250,Grand Candy,GCA-008,4850001230089,,DRAFT
Kilikia Dark Beer 0.5L,Rich dark lager with a smooth malty finish and deep caramel notes,600,120,Kilikia,KIL-009,4850001230096,,PUBLISHED
Noyan Tomato Paste 800g,Concentrated natural tomato paste without preservatives or artificial colors,1100,400,Noyan,NOY-010,4850001230102,,PUBLISHED
Dried Beef Basturma 1kg,Traditional Armenian cured beef seasoned with a thick layer of chaman and spices,12500,50,,BAS-011,4850001230119,,PUBLISHED
Marianna Pasteurized Milk 1L,Fresh cow milk with 3.2% fat content packaged in a long-life tetra pak,580,900,Marianna,MAR-012,4850001230126,,PUBLISHED
Ararat Brandy 3 Stars 0.5L,Legendary Armenian brandy aged for at least three years in oak barrels,6500,100,Ararat,ARA-013,4850001230133,,PUBLISHED
Dishwashing Liquid 1L,Concentrated household formula designed for effective grease removal and clean shine,950,350,,HOU-014,4850001230140,,DRAFT
Grand Candy Wafers 200g,Crispy vanilla flavored wafers ideal for tea time or school snacks,550,600,Grand Candy,GCA-015,4850001230157,,PUBLISHED
Red Chili Flakes 100g,Spicy crushed red pepper flakes suitable for seasoning traditional meat dishes,800,400,,SPY-016,4850001230164,,PUBLISHED
Kilikia Apple Juice 1L,100% natural apple juice without added sugar or artificial flavorings,900,220,Kilikia,KIL-017,4850001230171,,DRAFT
Marianna Matzoon 450g,Traditional Armenian fermented milk product with a thick creamy texture,520,500,Marianna,MAR-018,4850001230188,,PUBLISHED
Noyan Eggplant Caviar 500g,Roasted eggplant spread mixed with fresh vegetables and traditional Armenian spices,1350,180,Noyan,NOY-019,4850001230195,,PUBLISHED
Grand Candy Gummy Bears 1kg,Bulk pack of assorted fruit flavored gummy candies for wholesale vendors,3200,75,Grand Candy,GCA-020,4850001230201,,DRAFT
